Final Volume (m^3),Work Isothermal (J),Work Adiabatic (J)
0.1,-0.0,-0.0
0.1105263157894737,-249.62816275144908,-860.5130851756594
0.12105263157894738,-476.52997446501945,-1613.3518573294832
0.13157894736842107,-684.5003893221312,-2279.7251819884796
0.14210526315789473,-876.4566279896108,-2875.3710300441494
0.15263157894736845,-1054.6895902427004,-3412.254411469381
0.1631578947368421,-1221.0312354582359,-3899.6610598848483
0.1736842105263158,-1376.9695335639854,-4344.92601323443
0.1842105263157895,-1523.7295372967856,-4753.933156263483
0.19473684210526318,-1662.3318935105376,-5131.466376834227
0.20526315789473687,-1793.6359319347207,-5481.4618586499955
0.21578947368421053,-1918.3719661989423,-5807.192867729005
0.22631578947368422,-2037.1658941498802,-6111.407431879738
0.2368421052631579,-2150.5582006177265,-6396.432505620067
0.2473684210526316,-2259.0188247334163,-6664.253873381965
0.2578947368421053,-2362.958926866642,-6916.5782120372905
0.268421052631579,-2462.740300071545,-7154.881846759942
0.27894736842105267,-2558.682970149579,-7380.44945271818
0.2894736842105263,-2651.0713872240117,-7594.405069634428
0.30000000000000004,-2740.159510898156,-7797.7371747315465
