Temperature,Radius_of_Gyration,End_to_End_Distance,Potential_Energy
0.1,3.325209265688506,6.094022138583795,0.3377042684332384
0.2,4.524935851349709,11.865122439413767,3.656199064966724
0.30000000000000004,3.261128002930578,6.8792433583519905,3.8335498963501187
0.4,4.589144837183091,6.199952876386903,9.483728372458728
0.5,48.265233470808845,2.6598107239178983,9.019852642292019
0.6,5.265864081443654,12.569615376263625,12.508206640790464
0.7000000000000001,3.194928839521925,3.9491518065498714,14.30117971123978
0.8,44.020242806169705,3.6418410356609243,16.248453375455945
0.9,3.6892026613685136,3.8832743181089016,20.238447233979176
1.0,3.154423134158622,7.500979983053628,15.579804638637011
